"Year","Month","TII"
1973,11,-1.732
1973,12,-1.3
1974,1,-0.974
1974,2,-0.847
1974,3,-0.309
1974,4,0.327
1974,5,0.455
1974,6,0.341
1974,7,1.337
1974,8,1.546
1974,9,1.874
1974,10,1.469
1974,11,0.787
1974,12,0.512
1975,1,0.481
1975,2,0.594
1975,3,-0.248
1975,4,0.135
1975,5,0.165
1975,6,-0.871
1975,7,-0.663
1975,8,-1.319
1975,9,-0.388
1975,10,-0.345
1975,11,-0.262
1975,12,-0.539
1976,1,-0.262
1976,2,0.494
1976,3,1.108
1976,4,0.598
1976,5,1.341
1976,6,1.785
1976,7,1.294
1976,8,0.781
1976,9,0.868
1976,10,1.731
1976,11,2.349
1976,12,2.177
1977,1,2.267
1977,2,1.782
1977,3,1.007
1977,4,0.514
1977,5,0.647
1977,6,0.527
1977,7,0.584
1977,8,0.391
1977,9,1.236
1977,10,1.184
1977,11,0.425
1977,12,1.076
1978,1,0.461
1978,2,0.609
1978,3,0.297
1978,4,-0.164
1978,5,-0.093
1978,6,0.533
1978,7,0.568
1978,8,-0.149
1978,9,-0.284
1978,10,0.039
1978,11,-0.502
1978,12,0.288
1979,1,0.293
1979,2,0.087
1979,3,0.926
1979,4,1.323
1979,5,0.311
1979,6,-0.256
1979,7,-0.287
1979,8,0.108
1979,9,0.292
1979,10,-0.17
1979,11,-0.111
1979,12,0.095
1980,1,-0.227
1980,2,0.191
1980,3,0.536
1980,4,-0.035
1980,5,-0.368
1980,6,-0.231
1980,7,-0.469
1980,8,-1.029
1980,9,-1.007
1980,10,-0.686
1980,11,0.235
1980,12,0.756
1981,1,-0.008
1981,2,-0.266
1981,3,-1.203
1981,4,-0.394
1981,5,-0.436
1981,6,-0.444
1981,7,-0.558
1981,8,-0.471
1981,9,-0.748
1981,10,0.028
1981,11,-0.453
1981,12,-0.856
1982,1,-0.155
1982,2,-0.288
1982,3,0.36
1982,4,1.356
1982,5,1.863
1982,6,1.682
1982,7,1.61
1982,8,2.229
1982,9,2.919
1982,10,3.37
1982,11,3.416
1982,12,3.335
1983,1,3.113
1983,2,2.3
1983,3,1.39
1983,4,1.446
1983,5,1.915
1983,6,1.056
1983,7,-0.216
1983,8,0.103
1983,9,0.067
1983,10,-0.735
1983,11,-1.109
1983,12,-1.591
1984,1,-0.727
1984,2,-0.256
1984,3,-0.375
1984,4,-0.346
1984,5,-0.292
1984,6,0.176
1984,7,0.56
1984,8,0.522
1984,9,0.223
1984,10,0.667
1984,11,0.652
1984,12,-0.079
1985,1,0.295
1985,2,0.475
1985,3,0.42
1985,4,0.003
1985,5,0.06
1985,6,-0.811
1985,7,-0.388
1985,8,0.425
1985,9,0.076
1985,10,0.224
1985,11,0.588
1985,12,0.833
1986,1,0.68
1986,2,0.187
1986,3,0.641
1986,4,1.124
1986,5,0.369
1986,6,0.774
1986,7,1.036
1986,8,1.502
1986,9,1.277
1986,10,1.92
1986,11,2.475
1986,12,2.355
1987,1,1.915
1987,2,2.001
1987,3,1.388
1987,4,0.948
1987,5,0.854
1987,6,0.379
1987,7,0.239
1987,8,0.019
1987,9,-0.193
1987,10,0.047
1987,11,0.474
1987,12,-0.14
1988,1,0.313
1988,2,0.455
1988,3,-0.03
1988,4,-0.959
1988,5,-2.7
1988,6,-3.519
1988,7,-3.208
1988,8,-1.893
1988,9,-1.241
1988,10,-1.565
1988,11,-1.833
1988,12,-1.458
1989,1,-1.189
1989,2,-1.333
1989,3,-0.715
1989,4,-0.361
1989,5,-0.621
1989,6,-1.374
1989,7,-1.875
1989,8,-1.72
1989,9,-0.45
1989,10,-0.431
1989,11,-0.37
1989,12,0.064
1990,1,1.047
1990,2,0.647
1990,3,0.763
1990,4,0.827
1990,5,0.586
1990,6,0.141
1990,7,0.136
1990,8,-0.417
1990,9,-1.453
1990,10,-1.323
1990,11,-0.477
1990,12,-0.176
1991,1,0.873
1991,2,0.529
1991,3,0.186
1991,4,1.103
1991,5,1.38
1991,6,1.43
1991,7,1.564
1991,8,1.079
1991,9,-0.011
1991,10,1.654
1991,11,1.829
1991,12,1.995
1992,1,2.062
1992,2,2.098
1992,3,2.323
1992,4,3.154
1992,5,3.07
1992,6,1.631
1992,7,1.389
1992,8,1.8
